Date,Open,High,Low,Close,Adj Close,Volume
2022-09-02,6325.000000,6425.000000,6300.000000,6400.000000,5913.115723,13138800
2022-09-05,6400.000000,6450.000000,6325.000000,6375.000000,5890.018066,9181400
2022-09-06,6375.000000,6425.000000,6325.000000,6350.000000,5866.919922,6556900
2022-09-07,6325.000000,6375.000000,6275.000000,6300.000000,5820.723633,11491000
2022-09-08,6350.000000,6350.000000,6250.000000,6250.000000,5774.527344,10362500
2022-09-09,6300.000000,6325.000000,6200.000000,6225.000000,5751.429199,14636800
2022-09-12,6200.000000,6275.000000,6175.000000,6225.000000,5751.429199,10782800
2022-09-13,6225.000000,6300.000000,6200.000000,6200.000000,5728.331055,9240200
2022-09-14,6200.000000,6250.000000,6150.000000,6225.000000,5751.429199,8907600
2022-09-15,6225.000000,6250.000000,6175.000000,6175.000000,5705.232910,15583400
2022-09-16,6150.000000,6300.000000,6150.000000,6300.000000,5820.723633,18158600
2022-09-19,6275.000000,6275.000000,6200.000000,6200.000000,5728.331055,9070800
2022-09-20,6250.000000,6275.000000,6200.000000,6200.000000,5728.331055,6634700
2022-09-21,6200.000000,6250.000000,6200.000000,6250.000000,5774.527344,7204000
2022-09-22,6225.000000,6250.000000,6175.000000,6250.000000,5774.527344,6200900
2022-09-23,6250.000000,6275.000000,6200.000000,6200.000000,5728.331055,6647900
2022-09-26,6225.000000,6250.000000,6150.000000,6200.000000,5728.331055,8771700
2022-09-27,6200.000000,6225.000000,6125.000000,6150.000000,5682.135254,9551400
2022-09-28,6150.000000,6150.000000,6100.000000,6100.000000,5635.938477,13294700
2022-09-29,6100.000000,6150.000000,6025.000000,6025.000000,5566.644531,7205400
2022-09-30,6050.000000,6175.000000,6025.000000,6025.000000,5566.644531,12140400
2022-10-03,6025.000000,6100.000000,6025.000000,6025.000000,5566.644531,5291700
2022-10-04,6050.000000,6125.000000,6025.000000,6050.000000,5589.742676,8703800
2022-10-05,6100.000000,6150.000000,6025.000000,6025.000000,5566.644531,8316000
2022-10-06,6100.000000,6100.000000,6050.000000,6100.000000,5635.938477,5066900
2022-10-07,6075.000000,6125.000000,6025.000000,6075.000000,5612.840332,6908800
2022-10-10,6075.000000,6150.000000,6050.000000,6125.000000,5659.037109,6180000
2022-10-11,6100.000000,6150.000000,6050.000000,6125.000000,5659.037109,6202100
